Isolate	Chromosome	Region	Start	End	Most similar known cluster	Similarity	Type	Type_broad
AG038	AG038_chr2_con2	4.2	289219	366276	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
AG038	AG038_chr2_con2	4.3	575040	750827	ACE1	82	NRPS,T1PKS	NRP_PKS
AG038	AG038_chr3_con1	5.1	52312	85476	no_known_similarity	NA	terpene	Terpene
AG038	AG038_chr3_con1	5.2	1456434	1519030	no_known_similarity	NA	NRPS	NRP
AG038	AG038_chr3_con1	5.3	4433402	4496106	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
AG038	AG038_chr3_con1	5.4	4633988	4695470	tenuazonic acid	75	NRPS	NRP_PKS
AG038	AG038_chr3_con1	5.5	4869454	4944036	no_known_similarity	NA	NRPS	NRP
AG038	AG038_chr3_con1	5.6	5105536	5168861	no_known_similarity	NA	NRPS-like	NRP
AG038	AG038_chr4_con1	6.1	64768	91136	no_known_similarity	NA	terpene	Terpene
AG038	AG038_chr4_con1	6.2	1993065	2101627	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
AG038	AG038_chr4_con1	6.3	2110052	2180199	no_known_similarity	NA	NRPS	NRP
AG038	AG038_chr4_con1	6.4	2481678	2545520	choline	100	NRPS-like	NRP
AG038	AG038_chr4_con1	6.5	3464665	3496152	no_known_similarity	NA	indole	Indole
AG038	AG038_chr4_con1	6.6	4497022	4559034	no_known_similarity	NA	T3PKS	Polyketide
AG038	AG038_chr4_con1	6.7	4787227	4886370	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
AG038	AG038_chr4_con1	6.8	5002149	5067874	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr5_con2	8.1	1	47302	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr5_con4	10.1	139006	185439	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr5_con4	10.2	378005	409650	no_known_similarity	NA	indole	Indole
AG038	AG038_chr5_con4	10.3	1789192	1816082	no_known_similarity	NA	terpene	Terpene
AG038	AG038_chr5_con4	10.4	1922022	1953260	no_known_similarity	NA	terpene	Terpene
AG038	AG038_chr5_con4	10.5	3089061	3150522	cercosporin	43	T1PKS	Polyketide
AG038	AG038_chr5_con4	10.6	3208009	3268746	no_known_similarity	NA	NRPS-like	NRP
AG038	AG038_chr5_con4	10.7	3603469	3694463	no_known_similarity	NA	fungal-RiPP-like	Other
AG038	AG038_chr5_con4	10.8	3715885	3808029	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr5_con4	10.9	3924279	3991718	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr5_con4	10.10	4611913	4684116	no_known_similarity	NA	NRPS	NRP
AG038	AG038_chr6_con1	12.1	1132682	1232736	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr6_con1	12.2	2208130	2252333	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr6_con1	12.3	2937561	3022391	no_known_similarity	NA	fungal-RiPP-like	Other
AG038	AG038_chr6_con1	12.4	3292053	3367979	no_known_similarity	NA	NRPS	NRP
AG038	AG038_chr6_con1	12.5	3473911	3537718	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr6_con1	12.6	3682496	3748775	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
AG038	AG038_chr6_con1	12.7	3784756	3855831	no_known_similarity	NA	NRPS	NRP
AG038	AG038_chr6_con1	12.8	5132949	5263911	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
AG038	AG038_chr6_con1	12.9	5446948	5514541	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr6_con1	12.10	5688702	5779778	no_known_similarity	NA	fungal-RiPP-like	Other
AG038	AG038_chr7_con1	13.1	381948	475060	no_known_similarity	NA	fungal-RiPP-like	Other
AG038	AG038_chr7_con1	13.2	2423666	2484400	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr7_con1	13.3	2747891	2803546	no_known_similarity	NA	NRPS-like	NRP
AG038	AG038_chr7_con1	13.4	3739954	3803466	no_known_similarity	NA	T1PKS	Polyketide
AG038	AG038_chr7_con1	13.5	3964530	4036343	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
AG039_HiC	AG039_chr1_cont5	5.1	82078	115242	no_known_similarity	NA	terpene	Terpene
AG039_HiC	AG039_chr1_cont7	7.1	1276685	1353002	no_known_similarity	NA	NRPS	NRP
AG039_HiC	AG039_chr1_cont7	7.2	3962576	4069722	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
AG039_HiC	AG039_chr1_cont7	7.3	4634948	4667655	clavaric acid	100	terpene	Terpene
AG039_HiC	AG039_chr1_cont7	7.4	5506700	5570350	no_known_similarity	NA	NRPS-like	NRP
AG039_HiC	AG039_chr2_cont2	10.1	477165	537936	no_known_similarity	NA	T3PKS	Polyketide
AG039_HiC	AG039_chr2_cont3	11.1	388303	514417	no_known_similarity	NA	arylpolyene,fungal-RiPP-like	Other
AG039_HiC	AG039_chr2_cont3	11.2	939268	1005560	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
AG039_HiC	AG039_chr2_cont3	11.3	5379947	5446717	scytalone/T3HN	60	T1PKS	Polyketide
AG039_HiC	AG039_chr2_cont7	14.1	1	39469	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr2_cont10	15.1	55880	116299	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr2_cont10	15.2	181357	258406	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
AG039_HiC	AG039_chr2_cont10	15.3	469009	642927	ACE1	82	NRPS,T1PKS	NRP_PKS
AG039_HiC	AG039_chr3_cont1	16.1	114599	189182	no_known_similarity	NA	NRPS	NRP
AG039_HiC	AG039_chr3_cont1	16.2	368332	431657	no_known_similarity	NA	NRPS-like	NRP
AG039_HiC	AG039_chr3_cont2	17.1	1175258	1266463	no_known_similarity	NA	fungal-RiPP-like	Other
AG039_HiC	AG039_chr3_cont2	17.2	1806026	1873638	epipyriculol	52	T1PKS	Polyketide
AG039_HiC	AG039_chr3_cont2	17.3	5887941	5950643	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
AG039_HiC	AG039_chr3_cont2	17.4	6091795	6157082	tenuazonic acid	75	NRPS	NRP_PKS
AG039_HiC	AG039_chr4	19.1	67684	94036	no_known_similarity	NA	terpene	Terpene
AG039_HiC	AG039_chr4	19.2	1955367	2063923	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
AG039_HiC	AG039_chr4	19.3	2070306	2142486	no_known_similarity	NA	NRPS	NRP
AG039_HiC	AG039_chr4	19.4	2443842	2507684	choline	100	NRPS-like	NRP
AG039_HiC	AG039_chr4	19.5	3430399	3461886	no_known_similarity	NA	indole	Indole
AG039_HiC	AG039_chr4	19.6	4460566	4522578	no_known_similarity	NA	T3PKS	Polyketide
AG039_HiC	AG039_chr4	19.7	4761067	4860337	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
AG039_HiC	AG039_chr4	19.8	5008622	5074347	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr5_cont1	20.1	112583	159653	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr5_cont1	20.2	620506	652151	no_known_similarity	NA	indole	Indole
AG039_HiC	AG039_chr5_cont1	20.3	2035705	2062590	no_known_similarity	NA	terpene	Terpene
AG039_HiC	AG039_chr5_cont1	20.4	2168514	2199752	no_known_similarity	NA	terpene	Terpene
AG039_HiC	AG039_chr5_cont1	20.5	3335597	3397055	cercosporin	43	T1PKS	Polyketide
AG039_HiC	AG039_chr5_cont1	20.6	3454545	3515267	no_known_similarity	NA	NRPS-like	NRP
AG039_HiC	AG039_chr5_cont1	20.7	3850443	3941437	no_known_similarity	NA	fungal-RiPP-like	Other
AG039_HiC	AG039_chr5_cont1	20.8	3962862	4053856	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr5_cont1	20.9	4156428	4223867	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr5_cont1	20.10	4842921	4915124	no_known_similarity	NA	NRPS	NRP
AG039_HiC	AG039_chr6_cont1	22.1	1123091	1223925	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr6_cont1	22.2	2179710	2246960	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr6_cont2	23.1	555211	640029	no_known_similarity	NA	fungal-RiPP-like	Other
AG039_HiC	AG039_chr6_cont2	23.2	923352	999279	no_known_similarity	NA	NRPS	NRP
AG039_HiC	AG039_chr6_cont2	23.3	1097743	1161547	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr6_cont2	23.4	1309622	1372551	fusarin	100	NRPS	NRP_PKS
AG039_HiC	AG039_chr6_cont2	23.5	1408524	1479577	no_known_similarity	NA	NRPS	NRP
AG039_HiC	AG039_chr6_cont2	23.6	2758152	2889074	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
AG039_HiC	AG039_chr6_cont2	23.7	3091902	3159495	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr6_cont2	23.8	3358860	3449936	no_known_similarity	NA	fungal-RiPP-like	Other
AG039_HiC	AG039_chr7_cont1	24.1	384803	477915	no_known_similarity	NA	fungal-RiPP-like	Other
AG039_HiC	AG039_chr7_cont2	25.1	1115019	1175751	no_known_similarity	NA	T1PKS	Polyketide
AG039_HiC	AG039_chr7_cont2	25.2	1439218	1494903	no_known_similarity	NA	NRPS-like	NRP
AG039_HiC	AG039_chr7_cont2	25.3	2682489	2754302	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
AG059	AG059_chr1_con2	2.1	99518	129747	no_known_similarity	NA	terpene	Terpene
AG059	AG059_chr1_con2	2.2	1525539	1601856	no_known_similarity	NA	NRPS	NRP
AG059	AG059_chr1_con2	2.3	4202397	4309541	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
AG059	AG059_chr1_con2	2.4	4874401	4907108	clavaric acid	100	terpene	Terpene
AG059	AG059_chr1_con2	2.5	5756110	5819760	no_known_similarity	NA	NRPS-like	NRP
AG059	AG059_chr2_con2	8.1	755194	815965	no_known_similarity	NA	T3PKS	Polyketide
AG059	AG059_chr2_con2	8.2	1387851	1513957	no_known_similarity	NA	arylpolyene,fungal-RiPP-like	Other
AG059	AG059_chr2_con2	8.3	1944995	2011290	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
AG059	AG059_chr2_con2	8.4	6398601	6465371	scytalone/T3HN	60	T1PKS	Polyketide
AG059	AG059_chr2_con3	9.1	887918	1047026	ACE1	88	NRPS,T1PKS	NRP_PKS
AG059	AG059_chr2_con3	9.2	1272686	1349761	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
AG059	AG059_chr2_con3	9.3	1413254	1481619	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr2_con4	10.1	29898	81912	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr3_con2	12.1	863916	955121	no_known_similarity	NA	fungal-RiPP-like	Other
AG059	AG059_chr3_con2	12.2	1504153	1571938	epipyriculol	58	T1PKS	Polyketide
AG059	AG059_chr3_con2	12.3	5820611	5883328	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
AG059	AG059_chr3_con2	12.4	6021229	6082716	tenuazonic acid	75	NRPS	NRP_PKS
AG059	AG059_chr3_con2	12.5	6251270	6325852	no_known_similarity	NA	NRPS	NRP
AG059	AG059_chr3_con2	12.6	6487370	6550695	no_known_similarity	NA	NRPS-like	NRP
AG059	AG059_chr4_con1	14.1	64629	96349	no_known_similarity	NA	terpene	Terpene
AG059	AG059_chr4_con2	15.1	185631	294267	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
AG059	AG059_chr4_con2	15.2	302618	372765	no_known_similarity	NA	NRPS	NRP
AG059	AG059_chr4_con2	15.3	674141	737983	choline	100	NRPS-like	NRP
AG059	AG059_chr4_con2	15.4	1662305	1693792	no_known_similarity	NA	indole	Indole
AG059	AG059_chr4_con2	15.5	2692932	2754944	no_known_similarity	NA	T3PKS	Polyketide
AG059	AG059_chr4_con3	16.1	40707	139807	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
AG059	AG059_chr4_con3	16.2	285907	351632	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr5_con3	19.1	1088505	1188544	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr5_con3	19.2	1738301	1769946	no_known_similarity	NA	indole	Indole
AG059	AG059_chr5_con3	19.3	3291693	3322931	no_known_similarity	NA	terpene	Terpene
AG059	AG059_chr5_con3	19.4	4458757	4520217	cercosporin	43	T1PKS	Polyketide
AG059	AG059_chr5_con3	19.5	4580783	4644103	no_known_similarity	NA	NRPS-like	NRP
AG059	AG059_chr5_con3	19.6	4976911	5067905	no_known_similarity	NA	fungal-RiPP-like	Other
AG059	AG059_chr5_con3	19.7	5089330	5179615	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr5_con3	19.8	5281267	5348706	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr5_con4	20.1	91801	164004	no_known_similarity	NA	NRPS	NRP
AG059	AG059_chr6_con4	24.1	18434	49822	no_known_similarity	NA	indole	Indole
AG059	AG059_chr6_con5	25.1	155869	181049	no_known_similarity	NA	indole	Indole
AG059	AG059_chr6_con6	26.1	1	41733	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr6_con6	26.2	714989	801684	no_known_similarity	NA	fungal-RiPP-like	Other
AG059	AG059_chr6_con6	26.3	1084007	1159933	no_known_similarity	NA	NRPS	NRP
AG059	AG059_chr6_con6	26.4	1260266	1324070	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr6_con6	26.5	1470702	1536993	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
AG059	AG059_chr6_con6	26.6	1572963	1644045	no_known_similarity	NA	NRPS	NRP
AG059	AG059_chr6_con6	26.7	2920918	3051858	fusaridione A/(3R,5S)-5-(4-hydroxybenzyl)-3-methyl-3-((2E,4E,6E,8E,10E)-4,8,10-trimethyldodeca-2,4,6,8,10-pentaenoyl)pyrrolidine-2,4-dione	12	NRPS,T1PKS,terpene	NRP_PKS
AG059	AG059_chr6_con6	26.8	3246530	3314123	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr6_con6	26.9	3488311	3579387	no_known_similarity	NA	fungal-RiPP-like	Other
AG059	AG059_chr7_con1	27.1	102455	163453	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr7_con1	27.2	1247119	1340165	no_known_similarity	NA	fungal-RiPP-like	Other
AG059	AG059_chr7_con1	27.3	3282034	3342776	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr7_con1	27.4	3606278	3661938	no_known_similarity	NA	NRPS-like	NRP
AG059	AG059_chr7_con1	27.5	4589288	4649362	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_chr7_con1	27.6	4815729	4887542	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
AG059	AG059_contig25	31.1	1	32577	no_known_similarity	NA	T1PKS	Polyketide
AG059	AG059_contig35	36.1	1	44185	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr1_con1	1.1	177483	202707	no_known_similarity	NA	terpene	Terpene
AG098	AG098_chr1_con1	1.2	1511096	1587413	no_known_similarity	NA	NRPS	NRP
AG098	AG098_chr1_con1	1.3	4317345	4424491	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
AG098	AG098_chr1_con1	1.4	4991977	5024684	clavaric acid	100	terpene	Terpene
AG098	AG098_chr1_con1	1.5	5856597	5920247	no_known_similarity	NA	NRPS-like	NRP
AG098	AG098_chr2_con1	6.1	849638	880784	brassicicene C	22	indole	Terpene
AG098	AG098_chr2_con1	6.2	1617435	1678206	no_known_similarity	NA	T3PKS	Polyketide
AG098	AG098_chr2_con1	6.3	2248257	2374364	no_known_similarity	NA	arylpolyene,fungal-RiPP-like	Other
AG098	AG098_chr2_con1	6.4	2799289	2865584	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
AG098	AG098_chr2_con1	6.5	7241057	7307827	scytalone/T3HN	60	T1PKS	Polyketide
AG098	AG098_chr2_con2	7.1	324	38837	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr2_con2	7.2	839403	999086	ACE1	88	NRPS,T1PKS	NRP_PKS
AG098	AG098_chr2_con3	8.1	170528	247588	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
AG098	AG098_chr2_con3	8.2	311085	379450	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr3_con1	10.1	1237005	1299307	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr3_con3	12.1	929935	1021140	no_known_similarity	NA	fungal-RiPP-like	Other
AG098	AG098_chr3_con3	12.2	1560790	1628575	epipyriculol	52	T1PKS	Polyketide
AG098	AG098_chr3_con3	12.3	5637892	5700626	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
AG098	AG098_chr3_con3	12.4	5844165	5905647	tenuazonic acid	75	NRPS	NRP_PKS
AG098	AG098_chr3_con3	12.5	6085341	6159923	no_known_similarity	NA	NRPS	NRP
AG098	AG098_chr3_con3	12.6	6336442	6399767	no_known_similarity	NA	NRPS-like	NRP
AG098	AG098_chr4_con2	15.1	67726	94078	no_known_similarity	NA	terpene	Terpene
AG098	AG098_chr4_con2	15.2	1971227	2079797	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
AG098	AG098_chr4_con2	15.3	2088213	2158360	no_known_similarity	NA	NRPS	NRP
AG098	AG098_chr4_con2	15.4	2459713	2523555	choline	100	NRPS-like	NRP
AG098	AG098_chr4_con2	15.5	3446365	3477852	no_known_similarity	NA	indole	Indole
AG098	AG098_chr4_con2	15.6	4477070	4539082	no_known_similarity	NA	T3PKS	Polyketide
AG098	AG098_chr4_con2	15.7	4777510	4877164	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
AG098	AG098_chr4_con2	15.8	5026937	5092662	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr5_con2	17.1	128751	193878	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr5_con3	18.1	186693	218338	no_known_similarity	NA	indole	Indole
AG098	AG098_chr5_con3	18.2	1736745	1767983	no_known_similarity	NA	terpene	Terpene
AG098	AG098_chr5_con3	18.3	2903961	2965451	cercosporin	43	T1PKS	Polyketide
AG098	AG098_chr5_con3	18.4	3022932	3083671	no_known_similarity	NA	NRPS-like	NRP
AG098	AG098_chr5_con3	18.5	3418916	3509910	no_known_similarity	NA	fungal-RiPP-like	Other
AG098	AG098_chr5_con3	18.6	3531335	3622350	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr5_con3	18.7	3724959	3792398	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr5_con3	18.8	4411699	4483902	no_known_similarity	NA	NRPS	NRP
AG098	AG098_chr6_con8	26.1	1126597	1231325	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr6_con8	26.2	2192416	2247207	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr6_con8	26.3	2904246	2989080	no_known_similarity	NA	fungal-RiPP-like	Other
AG098	AG098_chr6_con8	26.4	3289490	3365420	no_known_similarity	NA	NRPS	NRP
AG098	AG098_chr6_con8	26.5	3463894	3527694	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr6_con8	26.6	3672352	3738639	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
AG098	AG098_chr6_con8	26.7	3774620	3845702	no_known_similarity	NA	NRPS	NRP
AG098	AG098_chr6_con8	26.8	5124502	5255460	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
AG098	AG098_chr6_con8	26.9	5460263	5527856	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr6_con8	26.10	5727322	5818398	no_known_similarity	NA	fungal-RiPP-like	Other
AG098	AG098_chr7_con1	27.1	384876	477988	no_known_similarity	NA	fungal-RiPP-like	Other
AG098	AG098_chr7_con1	27.2	2382132	2442883	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr7_con1	27.3	2706376	2762034	no_known_similarity	NA	NRPS-like	NRP
AG098	AG098_chr7_con1	27.4	3724773	3767190	no_known_similarity	NA	T1PKS	Polyketide
AG098	AG098_chr7_con1	27.5	3957539	4029352	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
Ao92_06_2	Ao92_06_2_cont_00	1.1	91	45011	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_00	1.2	1486187	1552957	scytalone/T3HN	60	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_00	1.3	5947339	6013634	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
Ao92_06_2	Ao92_06_2_cont_00	1.4	6438623	6529616	no_known_similarity	NA	fungal-RiPP-like	Other
Ao92_06_2	Ao92_06_2_cont_00	1.5	7134364	7195296	no_known_similarity	NA	T3PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_01	2.1	65168	113479	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
Ao92_06_2	Ao92_06_2_cont_01	2.2	374906	433897	tenuazonic acid	75	NRPS	NRP_PKS
Ao92_06_2	Ao92_06_2_cont_01	2.3	566401	636434	penigainamide A/penigainamide B/penigainamide C/adametizine A/FA2097/outovirin A/outovirin C/pretrichodermamide C	11	NRPS	Alkaloid
Ao92_06_2	Ao92_06_2_cont_01	2.4	5237947	5305732	epipyriculol	58	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_01	2.5	6069744	6160729	no_known_similarity	NA	fungal-RiPP-like	Other
Ao92_06_2	Ao92_06_2_cont_02	3.1	1122126	1222166	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_02	3.2	2189263	2239835	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_02	3.3	2933595	3009077	no_known_similarity	NA	fungal-RiPP-like	Other
Ao92_06_2	Ao92_06_2_cont_02	3.4	3278762	3354687	no_known_similarity	NA	NRPS	NRP
Ao92_06_2	Ao92_06_2_cont_02	3.5	3458811	3522613	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_02	3.6	3667872	3734159	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
Ao92_06_2	Ao92_06_2_cont_02	3.7	3770132	3841181	no_known_similarity	NA	NRPS	NRP
Ao92_06_2	Ao92_06_2_cont_02	3.8	5118071	5249008	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
Ao92_06_2	Ao92_06_2_cont_02	3.9	5433881	5501474	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_02	3.10	5671898	5762974	no_known_similarity	NA	fungal-RiPP-like	Other
Ao92_06_2	Ao92_06_2_cont_03	4.1	612573	675119	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_03	4.2	823164	923279	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_03	4.3	1176256	1238268	no_known_similarity	NA	T3PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_03	4.4	2244770	2276026	no_known_similarity	NA	indole	Indole
Ao92_06_2	Ao92_06_2_cont_03	4.5	3198599	3262441	choline	100	NRPS-like	NRP
Ao92_06_2	Ao92_06_2_cont_03	4.6	3563787	3635971	no_known_similarity	NA	NRPS	NRP
Ao92_06_2	Ao92_06_2_cont_03	4.7	3642885	3748358	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
Ao92_06_2	Ao92_06_2_cont_03	4.8	5620761	5652236	no_known_similarity	NA	terpene	Terpene
Ao92_06_2	Ao92_06_2_cont_04	5.1	185240	239854	no_known_similarity	NA	NRPS-like	NRP
Ao92_06_2	Ao92_06_2_cont_04	5.2	1080632	1104512	clavaric acid	100	terpene	Terpene
Ao92_06_2	Ao92_06_2_cont_04	5.3	1673902	1781037	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
Ao92_06_2	Ao92_06_2_cont_04	5.4	4446593	4522910	no_known_similarity	NA	NRPS	NRP
Ao92_06_2	Ao92_06_2_cont_04	5.5	5565978	5599142	no_known_similarity	NA	terpene	Terpene
Ao92_06_2	Ao92_06_2_cont_05	6.1	363154	394799	no_known_similarity	NA	indole	Indole
Ao92_06_2	Ao92_06_2_cont_05	6.2	1784811	1810933	no_known_similarity	NA	terpene	Terpene
Ao92_06_2	Ao92_06_2_cont_05	6.3	1916869	1948107	no_known_similarity	NA	terpene	Terpene
Ao92_06_2	Ao92_06_2_cont_05	6.4	3086527	3147987	cercosporin	43	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_05	6.5	3204829	3265563	no_known_similarity	NA	NRPS-like	NRP
Ao92_06_2	Ao92_06_2_cont_05	6.6	3600250	3691244	no_known_similarity	NA	fungal-RiPP-like	Other
Ao92_06_2	Ao92_06_2_cont_05	6.7	3712664	3803137	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_05	6.8	4394306	4461745	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_05	6.9	4606368	4678571	no_known_similarity	NA	NRPS	NRP
Ao92_06_2	Ao92_06_2_cont_06	7.1	372548	467518	no_known_similarity	NA	fungal-RiPP-like	Other
Ao92_06_2	Ao92_06_2_cont_06	7.2	2409750	2470484	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_06	7.3	2733951	2789606	no_known_similarity	NA	NRPS-like	NRP
Ao92_06_2	Ao92_06_2_cont_06	7.4	3697579	3765050	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_06	7.5	3864325	3938907	no_known_similarity	NA	NRPS	NRP
Ao92_06_2	Ao92_06_2_cont_06	7.6	4086654	4149979	no_known_similarity	NA	NRPS-like	NRP
Ao92_06_2	Ao92_06_2_cont_07	8.1	178773	238288	no_known_similarity	NA	T1PKS	Polyketide
Ao92_06_2	Ao92_06_2_cont_07	8.2	303342	380388	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	indole,T1PKS	NRP
Ao92_06_2	Ao92_06_2_cont_07	8.3	589257	765043	ACE1	82	NRPS,T1PKS	NRP_PKS
